Titre_hotel,Adresse,km_centre,Chambre,Lit,Note,Note_chiffre,Prix,Taxes
Hotel Eden,"15e arr., Paris","4,2 km du centre",Chambre Double Classique,1 grand lit double,Superbe,"8,6",TND 3 476,+ taxes et frais : TND 95
"Holiday Inn Paris Gare de l'Est, an IHG Hotel","10e arr., Paris","2,2 km du centre",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,Bien ,"7,7",TND 2 505,+ taxes et frais : TND 95
Hôtel Beauchamps,"8e arr., Paris","3,5 km du centre",Chambre classique,1 lit double,Bien ,"7,4",TND 3 209,+ taxes et frais : TND 95
"ELSA, Hôtel Paris","17e arr., Paris","4,9 km du centre",Chambre Double Affaires,1 grand lit double,Superbe,"8,7",TND 2 617,+ taxes et frais : TND 95
Hotel Louvre Saint-Honoré,"1er arr., Paris",1 km du centre,Chambre Lit Queen-Size Classique,1 grand lit double,Très bien,"8,3",TND 3 430,+ taxes et frais : TND 95
Timhotel Opéra Grands-Magasins,"9e arr., Paris","2,9 km du centre",Chambre Double Confort,1 grand lit double,Très bien,"8,1",TND 2 722,+ taxes et frais : TND 95
Pullman Paris Montparnasse,"14e arr., Paris","3,1 km du centre",Chambre Lits Jumeaux de Luxe avec Vue,2 lits simples,Très bien,"8,5",TND 4 651,+ taxes et frais : TND 95
Aparthotel Adagio Paris Centre Tour Eiffel,"15e arr., Paris","4,9 km du centre",Studio,"Studio entier • 1 salle de bains • 1 cuisine • 21m²
1 canapé-lit",Bien ,"7,1",TND 2 716,+ taxes et frais : TND 95
Le Rocroy Hotel Paris Gare du Nord,"10e arr., Paris","2,6 km du centre",Chambre Classique,1 lit double,Bien ,"7,6",TND 2 404,+ taxes et frais : TND 95
Hotel Villa Romantic & Spa,"13e arr., Paris","2,5 km du centre",Petite Chambre Double,1 grand lit double,Superbe,"8,9",TND 3 637,+ taxes et frais : TND 95
"voco Paris Montparnasse, an IHG Hotel","14e arr., Paris","2,9 km du centre",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,4",TND 3 567,+ taxes et frais : TND 95
Hotel de Neuville Arc de Triomphe,"17e arr., Paris",5 km du centre,Chambre Double Classique,1 lit double,Très bien,"8,2",TND 2 370,+ taxes et frais : TND 95
Hotel Aulivia Opéra,"10e arr., Paris","1,8 km du centre",Chambre Lits Jumeaux Classique,2 lits simples,Bien ,"7,9",TND 2 028,+ taxes et frais : TND 95
Best Western Plus La Demeure,"13e arr., Paris","2,1 km du centre",Chambre Double Supérieure avec Accès à l'Espace Détente,1 lit double,Très bien,"8,2",TND 2 616,+ taxes et frais : TND 95
Hôtel Rosalie,"13e arr., Paris","2,7 km du centre",Chambre Double Standard,1 lit double,Superbe,"8,6",TND 3 604,+ taxes et frais : TND 95
Appart’City Confort Paris Grande Bibliothèque,"13e arr., Paris","3,8 km du centre",Studio Double,"Studio entier • 1 salle de bains • 20m²
1 lit double",Bien ,"7,2",TND 1 945,+ taxes et frais : TND 95
Hotel Panache,"9e arr., Paris","1,9 km du centre",Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,3",TND 3 407,+ taxes et frais : TND 95
Hotel Opéra Opal,"8e arr., Paris","2,5 km du centre",Chambre Double Classique,1 lit double,Très bien,"8,5",TND 3 512,+ taxes et frais : TND 95
Aparthotel Adagio Paris Nation,"12e arr., Paris","3,8 km du centre",Studio,"Studio entier • 1 cuisine • 26m²
Types de lits : 1 lit double ou 2 lits simples",Très bien,"8,4",TND 2 772,+ taxes et frais : TND 165
Aparthotel Adagio Paris Bercy Village,"12e arr., Paris","3,8 km du centre",Studio (2 Adultes),"Studio entier • 1 salle de bains • 1 cuisine • 24m²
Types de lits : 1 lit double ou 2 lits simples",Bien ,"7,9",TND 2 597,+ taxes et frais : TND 95
Adagio Paris 19ème Cité de la Musique,"19e arr., Paris","4,6 km du centre",Grand Studio (2 Adultes),"Studio entier • 1 cuisine • 23m²
Types de lits : 1 lit double ou 2 lits simples",Bien ,"7,7",TND 2 182,+ taxes et frais : TND 95
Odalys City Paris Montmartre,"18e arr., Paris","3,6 km du centre",Studio Standard (2 Adultes),"Studio entier • 1 salle de bains • 19m²
Types de lits : 1 lit double ou 2 lits simples",Superbe,"8,6",TND 2 647,+ taxes et frais : TND 95
citizenM Paris Gare de Lyon,"12e arr., Paris","2,1 km du centre",Chambre Lit King-Size,1 très grand lit double,Très bien,"8,4",TND 2 666,+ taxes et frais : TND 95
Best Western Plus 61 Paris Nation Hotel,"12e arr., Paris","4,4 km du centre",Chambre Lits Jumeaux Supérieure,2 lits simples,Bien ,"7,6",TND 1 889,+ taxes et frais : TND 95
Hôtel Keppler,"16e arr., Paris","4,2 km du centre",Chambre Double Standard avec Lit Queen-Size et Baignoire,1 grand lit double,Fabuleux ,"9,1",TND 4 908,+ taxes et frais : TND 95
Hotel Eden,"15e arr., Paris","4,2 km du centre",Chambre Double Classique,1 grand lit double,Superbe,"8,6",TND 3 476,+ taxes et frais : TND 95
"Holiday Inn Paris Gare de l'Est, an IHG Hotel","10e arr., Paris","2,2 km du centre",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,Bien ,"7,7",TND 2 505,+ taxes et frais : TND 95
Hôtel Beauchamps,"8e arr., Paris","3,5 km du centre",Chambre classique,1 lit double,Bien ,"7,4",TND 3 209,+ taxes et frais : TND 95
"ELSA, Hôtel Paris","17e arr., Paris","4,9 km du centre",Chambre Double Affaires,1 grand lit double,Superbe,"8,7",TND 2 617,+ taxes et frais : TND 95
Hotel Louvre Saint-Honoré,"1er arr., Paris",1 km du centre,Chambre Lit Queen-Size Classique,1 grand lit double,Très bien,"8,3",TND 3 430,+ taxes et frais : TND 95
Timhotel Opéra Grands-Magasins,"9e arr., Paris","2,9 km du centre",Chambre Double Confort,1 grand lit double,Très bien,"8,1",TND 2 722,+ taxes et frais : TND 95
Pullman Paris Montparnasse,"14e arr., Paris","3,1 km du centre",Chambre Lits Jumeaux de Luxe avec Vue,2 lits simples,Très bien,"8,5",TND 4 651,+ taxes et frais : TND 95
Aparthotel Adagio Paris Centre Tour Eiffel,"15e arr., Paris","4,9 km du centre",Studio,"Studio entier • 1 salle de bains • 1 cuisine • 21m²
1 canapé-lit",Bien ,"7,1",TND 2 716,+ taxes et frais : TND 95
Le Rocroy Hotel Paris Gare du Nord,"10e arr., Paris","2,6 km du centre",Chambre Classique,1 lit double,Bien ,"7,6",TND 2 404,+ taxes et frais : TND 95
Hotel Villa Romantic & Spa,"13e arr., Paris","2,5 km du centre",Petite Chambre Double,1 grand lit double,Superbe,"8,9",TND 3 637,+ taxes et frais : TND 95
"voco Paris Montparnasse, an IHG Hotel","14e arr., Paris","2,9 km du centre",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,4",TND 3 567,+ taxes et frais : TND 95
Hotel de Neuville Arc de Triomphe,"17e arr., Paris",5 km du centre,Chambre Double Classique,1 lit double,Très bien,"8,2",TND 2 370,+ taxes et frais : TND 95
Hotel Aulivia Opéra,"10e arr., Paris","1,8 km du centre",Chambre Lits Jumeaux Classique,2 lits simples,Bien ,"7,9",TND 2 028,+ taxes et frais : TND 95
Best Western Plus La Demeure,"13e arr., Paris","2,1 km du centre",Chambre Double Supérieure avec Accès à l'Espace Détente,1 lit double,Très bien,"8,2",TND 2 616,+ taxes et frais : TND 95
Hôtel Rosalie,"13e arr., Paris","2,7 km du centre",Chambre Double Standard,1 lit double,Superbe,"8,6",TND 3 604,+ taxes et frais : TND 95
Appart’City Confort Paris Grande Bibliothèque,"13e arr., Paris","3,8 km du centre",Studio Double,"Studio entier • 1 salle de bains • 20m²
1 lit double",Bien ,"7,2",TND 1 945,+ taxes et frais : TND 95
Hotel Panache,"9e arr., Paris","1,9 km du centre",Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,3",TND 3 407,+ taxes et frais : TND 95
Hotel Opéra Opal,"8e arr., Paris","2,5 km du centre",Chambre Double Classique,1 lit double,Très bien,"8,5",TND 3 512,+ taxes et frais : TND 95
Aparthotel Adagio Paris Nation,"12e arr., Paris","3,8 km du centre",Studio,"Studio entier • 1 cuisine • 26m²
Types de lits : 1 lit double ou 2 lits simples",Très bien,"8,4",TND 2 772,+ taxes et frais : TND 165
Aparthotel Adagio Paris Bercy Village,"12e arr., Paris","3,8 km du centre",Studio (2 Adultes),"Studio entier • 1 salle de bains • 1 cuisine • 24m²
Types de lits : 1 lit double ou 2 lits simples",Bien ,"7,9",TND 2 597,+ taxes et frais : TND 95
Adagio Paris 19ème Cité de la Musique,"19e arr., Paris","4,6 km du centre",Grand Studio (2 Adultes),"Studio entier • 1 cuisine • 23m²
Types de lits : 1 lit double ou 2 lits simples",Bien ,"7,7",TND 2 182,+ taxes et frais : TND 95
Odalys City Paris Montmartre,"18e arr., Paris","3,6 km du centre",Studio Standard (2 Adultes),"Studio entier • 1 salle de bains • 19m²
Types de lits : 1 lit double ou 2 lits simples",Superbe,"8,6",TND 2 647,+ taxes et frais : TND 95
citizenM Paris Gare de Lyon,"12e arr., Paris","2,1 km du centre",Chambre Lit King-Size,1 très grand lit double,Très bien,"8,4",TND 2 666,+ taxes et frais : TND 95
Best Western Plus 61 Paris Nation Hotel,"12e arr., Paris","4,4 km du centre",Chambre Lits Jumeaux Supérieure,2 lits simples,Bien ,"7,6",TND 1 889,+ taxes et frais : TND 95
Hôtel Keppler,"16e arr., Paris","4,2 km du centre",Chambre Double Standard avec Lit Queen-Size et Baignoire,1 grand lit double,Fabuleux ,"9,1",TND 4 908,+ taxes et frais : TND 95
Hotel Eden,"15e arr., Paris","4,2 km du centre",Chambre Double Classique,1 grand lit double,Superbe,"8,6",TND 3 476,+ taxes et frais : TND 95
"Holiday Inn Paris Gare de l'Est, an IHG Hotel","10e arr., Paris","2,2 km du centre",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,Bien ,"7,7",TND 2 505,+ taxes et frais : TND 95
Hôtel Beauchamps,"8e arr., Paris","3,5 km du centre",Chambre classique,1 lit double,Bien ,"7,4",TND 3 209,+ taxes et frais : TND 95
"ELSA, Hôtel Paris","17e arr., Paris","4,9 km du centre",Chambre Double Affaires,1 grand lit double,Superbe,"8,7",TND 2 617,+ taxes et frais : TND 95
Hotel Louvre Saint-Honoré,"1er arr., Paris",1 km du centre,Chambre Lit Queen-Size Classique,1 grand lit double,Très bien,"8,3",TND 3 430,+ taxes et frais : TND 95
Timhotel Opéra Grands-Magasins,"9e arr., Paris","2,9 km du centre",Chambre Double Confort,1 grand lit double,Très bien,"8,1",TND 2 722,+ taxes et frais : TND 95
Pullman Paris Montparnasse,"14e arr., Paris","3,1 km du centre",Chambre Lits Jumeaux de Luxe avec Vue,2 lits simples,Très bien,"8,5",TND 4 651,+ taxes et frais : TND 95
Aparthotel Adagio Paris Centre Tour Eiffel,"15e arr., Paris","4,9 km du centre",Studio,"Studio entier • 1 salle de bains • 1 cuisine • 21m²
1 canapé-lit",Bien ,"7,1",TND 2 716,+ taxes et frais : TND 95
Le Rocroy Hotel Paris Gare du Nord,"10e arr., Paris","2,6 km du centre",Chambre Classique,1 lit double,Bien ,"7,6",TND 2 404,+ taxes et frais : TND 95
Hotel Villa Romantic & Spa,"13e arr., Paris","2,5 km du centre",Petite Chambre Double,1 grand lit double,Superbe,"8,9",TND 3 637,+ taxes et frais : TND 95
"voco Paris Montparnasse, an IHG Hotel","14e arr., Paris","2,9 km du centre",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,4",TND 3 567,+ taxes et frais : TND 95
Hotel de Neuville Arc de Triomphe,"17e arr., Paris",5 km du centre,Chambre Double Classique,1 lit double,Très bien,"8,2",TND 2 370,+ taxes et frais : TND 95
Hotel Aulivia Opéra,"10e arr., Paris","1,8 km du centre",Chambre Lits Jumeaux Classique,2 lits simples,Bien ,"7,9",TND 2 028,+ taxes et frais : TND 95
Best Western Plus La Demeure,"13e arr., Paris","2,1 km du centre",Chambre Double Supérieure avec Accès à l'Espace Détente,1 lit double,Très bien,"8,2",TND 2 616,+ taxes et frais : TND 95
Hôtel Rosalie,"13e arr., Paris","2,7 km du centre",Chambre Double Standard,1 lit double,Superbe,"8,6",TND 3 604,+ taxes et frais : TND 95
Appart’City Confort Paris Grande Bibliothèque,"13e arr., Paris","3,8 km du centre",Studio Double,"Studio entier • 1 salle de bains • 20m²
1 lit double",Bien ,"7,2",TND 1 945,+ taxes et frais : TND 95
Hotel Panache,"9e arr., Paris","1,9 km du centre",Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,3",TND 3 407,+ taxes et frais : TND 95
Hotel Opéra Opal,"8e arr., Paris","2,5 km du centre",Chambre Double Classique,1 lit double,Très bien,"8,5",TND 3 512,+ taxes et frais : TND 95
Aparthotel Adagio Paris Nation,"12e arr., Paris","3,8 km du centre",Studio,"Studio entier • 1 cuisine • 26m²
Types de lits : 1 lit double ou 2 lits simples",Très bien,"8,4",TND 2 772,+ taxes et frais : TND 165
Aparthotel Adagio Paris Bercy Village,"12e arr., Paris","3,8 km du centre",Studio (2 Adultes),"Studio entier • 1 salle de bains • 1 cuisine • 24m²
Types de lits : 1 lit double ou 2 lits simples",Bien ,"7,9",TND 2 597,+ taxes et frais : TND 95
Adagio Paris 19ème Cité de la Musique,"19e arr., Paris","4,6 km du centre",Grand Studio (2 Adultes),"Studio entier • 1 cuisine • 23m²
Types de lits : 1 lit double ou 2 lits simples",Bien ,"7,7",TND 2 182,+ taxes et frais : TND 95
Odalys City Paris Montmartre,"18e arr., Paris","3,6 km du centre",Studio Standard (2 Adultes),"Studio entier • 1 salle de bains • 19m²
Types de lits : 1 lit double ou 2 lits simples",Superbe,"8,6",TND 2 647,+ taxes et frais : TND 95
citizenM Paris Gare de Lyon,"12e arr., Paris","2,1 km du centre",Chambre Lit King-Size,1 très grand lit double,Très bien,"8,4",TND 2 666,+ taxes et frais : TND 95
Best Western Plus 61 Paris Nation Hotel,"12e arr., Paris","4,4 km du centre",Chambre Lits Jumeaux Supérieure,2 lits simples,Bien ,"7,6",TND 1 889,+ taxes et frais : TND 95
Hôtel Keppler,"16e arr., Paris","4,2 km du centre",Chambre Double Standard avec Lit Queen-Size et Baignoire,1 grand lit double,Fabuleux ,"9,1",TND 4 908,+ taxes et frais : TND 95
Hotel Eden,"15e arr., Paris","4,2 km du centre",Chambre Double Classique,1 grand lit double,Superbe,"8,6",TND 3 476,+ taxes et frais : TND 95
"Holiday Inn Paris Gare de l'Est, an IHG Hotel","10e arr., Paris","2,2 km du centre",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,Bien ,"7,7",TND 2 505,+ taxes et frais : TND 95
Hôtel Beauchamps,"8e arr., Paris","3,5 km du centre",Chambre classique,1 lit double,Bien ,"7,4",TND 3 209,+ taxes et frais : TND 95
"ELSA, Hôtel Paris","17e arr., Paris","4,9 km du centre",Chambre Double Affaires,1 grand lit double,Superbe,"8,7",TND 2 617,+ taxes et frais : TND 95
Hotel Louvre Saint-Honoré,"1er arr., Paris",1 km du centre,Chambre Lit Queen-Size Classique,1 grand lit double,Très bien,"8,3",TND 3 430,+ taxes et frais : TND 95
Timhotel Opéra Grands-Magasins,"9e arr., Paris","2,9 km du centre",Chambre Double Confort,1 grand lit double,Très bien,"8,1",TND 2 722,+ taxes et frais : TND 95
Pullman Paris Montparnasse,"14e arr., Paris","3,1 km du centre",Chambre Lits Jumeaux de Luxe avec Vue,2 lits simples,Très bien,"8,5",TND 4 651,+ taxes et frais : TND 95
Aparthotel Adagio Paris Centre Tour Eiffel,"15e arr., Paris","4,9 km du centre",Studio,"Studio entier • 1 salle de bains • 1 cuisine • 21m²
1 canapé-lit",Bien ,"7,1",TND 2 716,+ taxes et frais : TND 95
Le Rocroy Hotel Paris Gare du Nord,"10e arr., Paris","2,6 km du centre",Chambre Classique,1 lit double,Bien ,"7,6",TND 2 404,+ taxes et frais : TND 95
Hotel Villa Romantic & Spa,"13e arr., Paris","2,5 km du centre",Petite Chambre Double,1 grand lit double,Superbe,"8,9",TND 3 637,+ taxes et frais : TND 95
"voco Paris Montparnasse, an IHG Hotel","14e arr., Paris","2,9 km du centre",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,4",TND 3 567,+ taxes et frais : TND 95
Hotel de Neuville Arc de Triomphe,"17e arr., Paris",5 km du centre,Chambre Double Classique,1 lit double,Très bien,"8,2",TND 2 370,+ taxes et frais : TND 95
Hotel Aulivia Opéra,"10e arr., Paris","1,8 km du centre",Chambre Lits Jumeaux Classique,2 lits simples,Bien ,"7,9",TND 2 028,+ taxes et frais : TND 95
Best Western Plus La Demeure,"13e arr., Paris","2,1 km du centre",Chambre Double Supérieure avec Accès à l'Espace Détente,1 lit double,Très bien,"8,2",TND 2 616,+ taxes et frais : TND 95
Hôtel Rosalie,"13e arr., Paris","2,7 km du centre",Chambre Double Standard,1 lit double,Superbe,"8,6",TND 3 604,+ taxes et frais : TND 95
Appart’City Confort Paris Grande Bibliothèque,"13e arr., Paris","3,8 km du centre",Studio Double,"Studio entier • 1 salle de bains • 20m²
1 lit double",Bien ,"7,2",TND 1 945,+ taxes et frais : TND 95
Hotel Panache,"9e arr., Paris","1,9 km du centre",Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,3",TND 3 407,+ taxes et frais : TND 95
Hotel Opéra Opal,"8e arr., Paris","2,5 km du centre",Chambre Double Classique,1 lit double,Très bien,"8,5",TND 3 512,+ taxes et frais : TND 95
Aparthotel Adagio Paris Nation,"12e arr., Paris","3,8 km du centre",Studio,"Studio entier • 1 cuisine • 26m²
Types de lits : 1 lit double ou 2 lits simples",Très bien,"8,4",TND 2 772,+ taxes et frais : TND 165
Aparthotel Adagio Paris Bercy Village,"12e arr., Paris","3,8 km du centre",Studio (2 Adultes),"Studio entier • 1 salle de bains • 1 cuisine • 24m²
Types de lits : 1 lit double ou 2 lits simples",Bien ,"7,9",TND 2 597,+ taxes et frais : TND 95
Adagio Paris 19ème Cité de la Musique,"19e arr., Paris","4,6 km du centre",Grand Studio (2 Adultes),"Studio entier • 1 cuisine • 23m²
Types de lits : 1 lit double ou 2 lits simples",Bien ,"7,7",TND 2 182,+ taxes et frais : TND 95
Odalys City Paris Montmartre,"18e arr., Paris","3,6 km du centre",Studio Standard (2 Adultes),"Studio entier • 1 salle de bains • 19m²
Types de lits : 1 lit double ou 2 lits simples",Superbe,"8,6",TND 2 647,+ taxes et frais : TND 95
citizenM Paris Gare de Lyon,"12e arr., Paris","2,1 km du centre",Chambre Lit King-Size,1 très grand lit double,Très bien,"8,4",TND 2 666,+ taxes et frais : TND 95
Best Western Plus 61 Paris Nation Hotel,"12e arr., Paris","4,4 km du centre",Chambre Lits Jumeaux Supérieure,2 lits simples,Bien ,"7,6",TND 1 889,+ taxes et frais : TND 95
Hôtel Keppler,"16e arr., Paris","4,2 km du centre",Chambre Double Standard avec Lit Queen-Size et Baignoire,1 grand lit double,Fabuleux ,"9,1",TND 4 908,+ taxes et frais : TND 95
Hotel Eden,"15e arr., Paris","4,2 km du centre",Chambre Double Classique,1 grand lit double,Superbe,"8,6",TND 3 476,+ taxes et frais : TND 95
"Holiday Inn Paris Gare de l'Est, an IHG Hotel","10e arr., Paris","2,2 km du centre",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,Bien ,"7,7",TND 2 505,+ taxes et frais : TND 95
Hôtel Beauchamps,"8e arr., Paris","3,5 km du centre",Chambre classique,1 lit double,Bien ,"7,4",TND 3 209,+ taxes et frais : TND 95
"ELSA, Hôtel Paris","17e arr., Paris","4,9 km du centre",Chambre Double Affaires,1 grand lit double,Superbe,"8,7",TND 2 617,+ taxes et frais : TND 95
Hotel Louvre Saint-Honoré,"1er arr., Paris",1 km du centre,Chambre Lit Queen-Size Classique,1 grand lit double,Très bien,"8,3",TND 3 430,+ taxes et frais : TND 95
Timhotel Opéra Grands-Magasins,"9e arr., Paris","2,9 km du centre",Chambre Double Confort,1 grand lit double,Très bien,"8,1",TND 2 722,+ taxes et frais : TND 95
Pullman Paris Montparnasse,"14e arr., Paris","3,1 km du centre",Chambre Lits Jumeaux de Luxe avec Vue,2 lits simples,Très bien,"8,5",TND 4 651,+ taxes et frais : TND 95
Aparthotel Adagio Paris Centre Tour Eiffel,"15e arr., Paris","4,9 km du centre",Studio,"Studio entier • 1 salle de bains • 1 cuisine • 21m²
1 canapé-lit",Bien ,"7,1",TND 2 716,+ taxes et frais : TND 95
Le Rocroy Hotel Paris Gare du Nord,"10e arr., Paris","2,6 km du centre",Chambre Classique,1 lit double,Bien ,"7,6",TND 2 404,+ taxes et frais : TND 95
Hotel Villa Romantic & Spa,"13e arr., Paris","2,5 km du centre",Petite Chambre Double,1 grand lit double,Superbe,"8,9",TND 3 637,+ taxes et frais : TND 95
"voco Paris Montparnasse, an IHG Hotel","14e arr., Paris","2,9 km du centre",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,4",TND 3 567,+ taxes et frais : TND 95
Hotel de Neuville Arc de Triomphe,"17e arr., Paris",5 km du centre,Chambre Double Classique,1 lit double,Très bien,"8,2",TND 2 370,+ taxes et frais : TND 95
Hotel Aulivia Opéra,"10e arr., Paris","1,8 km du centre",Chambre Lits Jumeaux Classique,2 lits simples,Bien ,"7,9",TND 2 028,+ taxes et frais : TND 95
Best Western Plus La Demeure,"13e arr., Paris","2,1 km du centre",Chambre Double Supérieure avec Accès à l'Espace Détente,1 lit double,Très bien,"8,2",TND 2 616,+ taxes et frais : TND 95
Hôtel Rosalie,"13e arr., Paris","2,7 km du centre",Chambre Double Standard,1 lit double,Superbe,"8,6",TND 3 604,+ taxes et frais : TND 95
Appart’City Confort Paris Grande Bibliothèque,"13e arr., Paris","3,8 km du centre",Studio Double,"Studio entier • 1 salle de bains • 20m²
1 lit double",Bien ,"7,2",TND 1 945,+ taxes et frais : TND 95
Hotel Panache,"9e arr., Paris","1,9 km du centre",Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,Très bien,"8,3",TND 3 407,+ taxes et frais : TND 95
Hotel Opéra Opal,"8e arr., Paris","2,5 km du centre",Chambre Double Classique,1 lit double,Très bien,"8,5",TND 3 512,+ taxes et frais : TND 95
