Airline_depart,Temps_depart_tunis,Temps_arrivee_paris,Duree_Tun_Paris,Airline_arrivee,Temps_depart_paris,Temps_arrivee_tunis,Duree_Paris_Tun,Prix
Nouvelair,08:00,10:30,2h 30min,Nouvelair,11:30,13:55,2h 25min,1 397 TND au total
Nouvelair,08:00,10:30,2h 30min,Nouvelair,18:30,20:55,2h 25min,1 397 TND au total
Nouvelair,15:00,17:30,2h 30min,Nouvelair,18:30,20:55,2h 25min,1 493 TND au total
Nouvelair,15:00,17:30,2h 30min,Nouvelair,11:30,13:55,2h 25min,1 493 TND au total
Tunisair,15:05,17:35,2h 30min,Nouvelair,11:30,13:55,2h 25min,1 615 TND au total
Tunisair,15:05,17:35,2h 30min,Nouvelair,18:30,20:55,2h 25min,1 615 TND au total
Air France,19:40,22:20,2h 40min,Air France,14:20,16:45,2h 25min,1 480 TND au total
Air France,19:40,22:20,2h 40min,Air France,13:05,15:30,2h 25min,1 506 TND au total
Tunisair,15:05,17:35,2h 30min,Tunisair,18:30,20:55,2h 25min,1 672 TND au total
Tunisair,15:05,17:35,2h 30min,Tunisair,20:50,23:15,2h 25min,1 724 TND au total
Tunisair,15:05,17:35,2h 30min,Tunisair,09:45,12:10,2h 25min,1 724 TND au total
Tunisair,15:05,17:35,2h 30min,Tunisair,14:00,16:30,2h 30min,1 724 TND au total
Tunisair,06:20,08:45,2h 25min,Nouvelair,18:30,20:55,2h 25min,1 877 TND au total
Tunisair,06:20,08:45,2h 25min,Nouvelair,11:30,13:55,2h 25min,1 877 TND au total
Tunisair,17:25,19:50,2h 25min,Nouvelair,11:30,13:55,2h 25min,1 877 TND au total
Tunisair,17:25,19:50,2h 25min,Nouvelair,18:30,20:55,2h 25min,1 877 TND au total
Tunisair,10:00,12:30,2h 30min,Nouvelair,18:30,20:55,2h 25min,1 877 TND au total
Tunisair,10:00,12:30,2h 30min,Nouvelair,11:30,13:55,2h 25min,1 877 TND au total
Tunisair,17:25,19:50,2h 25min,Tunisair,18:30,20:55,2h 25min,1 916 TND au total
Tunisair,06:20,08:45,2h 25min,Tunisair,18:30,20:55,2h 25min,1 916 TND au total
